geometry,NAME
POINT (-90.21403958786898 38.61347252009753),1232
POINT (-90.22242240633491 38.586623078489055),1246
POINT (-90.20193234849737 38.63203664550524),1255
POINT (-90.28687968439745 38.62753274578833),1045
POINT (-90.28137260523145 38.66906206586643),1061
POINT (-90.27778441265849 38.66086823101327),1055
POINT (-90.2882347972452 38.651590983861),1052
POINT (-90.28897938324 38.65809650676604),1053
POINT (-90.29041482468469 38.66547605672314),1054
POINT (-90.29974089073355 38.629146931014425),1042
POINT (-90.29160199655098 38.615980409629564),1036
POINT (-90.30062033729776 38.64765174967272),1051.98
POINT (-90.26455502824298 38.66945483334532),1065
POINT (-90.26828653418241 38.663146020463195),1066
POINT (-90.27117647402886 38.67829613928157),1063
POINT (-90.25395521680045 38.70095072689882),1072
POINT (-90.25335853169867 38.668278500422616),1067
POINT (-90.25166344916974 38.696031123496816),1074
POINT (-90.24474776866114 38.69136495741672),1075
POINT (-90.24007848506098 38.685909816337144),1076
POINT (-90.24105871640982 38.64885414576604),1111
POINT (-90.24829811385773 38.66004379885404),1112
POINT (-90.24006887479443 38.65973655578273),1113
POINT (-90.27047917086448 38.65555754727044),1122
POINT (-90.26079008309135 38.57510266739845),1154
POINT (-90.24651994568401 38.57291949282235),1155
POINT (-90.23878943337375 38.57199868848971),1156
POINT (-90.24885672607189 38.64618828743845),1192
POINT (-90.2389354989844 38.638978786131744),1193
POINT (-90.20905765446554 38.66023037507483),1202
POINT (-90.28450304769005 38.59868031807727),1142
POINT (-90.2846811553668 38.586551057797315),1143
POINT (-90.2708842440417 38.58542638150404),1151
POINT (-90.22240856789628 38.659895691859106),1104
POINT (-90.21595651918818 38.66660876892288),1105
POINT (-90.23980509065379 38.671435707164655),1101
POINT (-90.22876922943081 38.67278026006241),1102
POINT (-90.25734738071743 38.655511964800546),1123
POINT (-90.25524965551783 38.59281379779679),1161
POINT (-90.25823570812828 38.601863266293066),1162
POINT (-90.24004489511123 38.590989915116445),1164
POINT (-90.25520949275717 38.708210068416065),1073
POINT (-90.2557143195676 38.63123371280398),1186
POINT (-90.27690186741158 38.61585652219319),1135
POINT (-90.26335307180558 38.614664728728464),1171
POINT (-90.24149481682844 38.58312316144893),1157
POINT (-90.2230846566909 38.642945023550254),1212
POINT (-90.26492597720338 38.591090148833885),1152
POINT (-90.23939222261735 38.71810692096247),1082
POINT (-90.23357232593855 38.72238546336682),1083
POINT (-90.26203050470627 38.644663711852544),1124
POINT (-90.25520845384698 38.58079984255415),1153
POINT (-90.25158953975952 38.613911006306175),1172
POINT (-90.21031858802317 38.672155691798245),1097
POINT (-90.27935031092112 38.678484846073076),1062
POINT (-90.22512082489374 38.67755477178466),1096
POINT (-90.25587697512186 38.62401658634994),1181
POINT (-90.23798951362032 38.60924802817648),1174
POINT (-90.20240277421767 38.66154504530802),1267
POINT (-90.2291436647234 38.65502798386641),1277
POINT (-90.2269529907363 38.6358098041001),1278
POINT (-90.31004505121696 38.58923055118395),1031
POINT (-90.30121710280243 38.607937520845915),1034
POINT (-90.27733663143357 38.57247151247403),1025
POINT (-90.24079895713348 38.71408408507439),1081
POINT (-90.28755385380587 38.562378036390776),1023
POINT (-90.27837733534548 38.577453566602685),1024
POINT (-90.25430509712776 38.55411432256256),1018
POINT (-90.2937975665997 38.57153398714563),1021
POINT (-90.29333827990779 38.578075921413884),1022
POINT (-90.27427987501353 38.55572591430771),1011
POINT (-90.27565244641946 38.56243999443465),1012
POINT (-90.26424385264794 38.56969481543631),1013
POINT (-90.2543517624088 38.56250782087841),1014
POINT (-90.264945836161 38.549206770644815),1015
POINT (-90.27697078607629 38.64767136497904),1121
POINT (-90.23790908363084 38.60127377798526),1165
POINT (-90.23133541231014 38.665210259211015),1103
POINT (-90.292880383967 38.60859145441571),1037
POINT (-90.30806094401215 38.598052246276225),1038
POINT (-90.25476033589162 38.642688855609634),1191.02
POINT (-90.30742356702392 38.6186087097051),1268
POINT (-90.2517398411531 38.683761826401486),1269
POINT (-90.22211195574693 38.71708273079766),1270
POINT (-90.21163260328085 38.618983870074),1274
POINT (-90.22626928280896 38.610962841805915),1231
POINT (-90.19578577282849 38.64716191162017),1266
POINT (-90.29762789391994 38.58994540443228),1141.02
POINT (-90.24872451545126 38.5896857463421),1163.02
POINT (-90.24714780488509 38.59929269706545),1163.01
POINT (-90.25708684551505 38.63951965298256),1191.01
POINT (-90.28121312092837 38.59340029221555),1141.01
POINT (-90.20957793253405 38.65047156491019),1271
POINT (-90.28092507409875 38.60684394196553),1272
POINT (-90.23671552639064 38.61823241533244),1273
POINT (-90.20868684629328 38.63822758047459),1275
POINT (-90.20658593024851 38.607855505181966),1276
POINT (-90.26111782287785 38.67519255483622),1064
POINT (-90.19364041836697 38.629377614242124),1256
POINT (-90.19508625394356 38.639252671279934),1257
POINT (-90.21782973406226 38.60563416451447),1233
POINT (-90.2328984995508 38.58882870018996),1241
POINT (-90.22899608213069 38.59875136606004),1242
POINT (-90.22148094516876 38.596118384102176),1243
