id,Name,LON,LAT
"1",Grand Blvd/Fairground Park,-90.217,38.661
"2",Palm St/Salisbury St,-90.209,38.658
"3",St Louis Ave,-90.211,38.653
"4",Cass Ave,-90.213,38.645
"5",Carr St,-90.213,38.640
"6",Washington Ave,-90.213,38.635
"7",Market St,-90.216,38.631
"8",Scott Ave/ Ewing Yard,-90.218,38.626
"9",Park Ave,-90.220,38.618
"10",Russell Blvd,-90.222,38.611
"11",Gravois Ave/Sidney St,-90.223,38.605
"12",Arsenal St,-90.224,38.599
"13",Cherokee St,-90.225,38.593
"14",Chippewa St,-90.227,38.586
